植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
インテグリフォリア (コースト),Banksia integrifolia,Coast banksia / コーストバンクシア,ヤマモガシ科バンクシア属,オーストラリア東海岸,低（日向必須）,-5℃以上（成木はさらに耐える）,強い / 普通（潮風に非常に強い）,庭 / ベランダ,土が乾いたらたっぷり,リン酸の多い肥料は根を傷めるため絶対に避ける（プロテオイド根）。,乾燥好む,中級者向け,常緑性高木,秋〜春（開花期が長い）,葉：裏面が白い質感のある葉、花：淡い黄色,樹高3m〜10m以上（鉢植えで制限可）,普通,水はけ極めて重視（無肥料の土推奨）,春（4〜5月）、根詰まりしたら,ほぼ不要（与えるならプロテア専用か低リン酸）,根腐れ,カイガラムシ,過湿厳禁。風通しの良い特等席に配置する。,春に混み合った枝を落とす程度。強剪定は避けるのが無難。,安全（毒性なし）,モダン / インダストリアル / カリフォルニアスタイル,ドライフラワー素材 / 圧倒的な存在感,花言葉「心地よい孤独」「心に触れる」,新築祝い / 開店祝い（店舗のシンボルツリー）,スポット入荷（希少）,屋外・最前線日向エリア,"5号鉢：4,500円 / 8号鉢：22,000円",
スピヌローサ(ヘアピン),Banksia spinulosa,Hairpin banksia / ヘアピンバンクシア,ヤマモガシ科バンクシア属,オーストラリア東部,低（日向必須）,-5℃以上（寒風は防ぐ）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,インテグリフォリア同様、リン酸入りの肥料は厳禁。,乾燥好む,中級者向け,常緑性低木,秋〜冬（長期間咲く）,葉：細長くノコギリ状の縁、花：黄金色〜琥珀色,樹高1.5m〜3m,遅い,水はけ極めて重視（酸性土壌を好む）,春（4〜5月）、2〜3年に1回,ほぼ不要（春にネイティブ専用肥料を極少量）,根腐れ,特になし,水のやりすぎに注意し、鉢の土が中まで乾いたか確認する。,花後に古い花頭をカットし、形を整える。,安全（毒性なし）,インダストリアル / スタイリッシュ / 和モダン,個性的な花の鑑賞 / ドライフラワー,花言葉「勇気」「不屈の精神」,こだわりのある方へのギフト,スポット入荷（希少）,屋外・日向エリア（バンクシアコーナー）,"6号鉢：6,000円 / 8号鉢：18,000円",
カリステモン(ピンクシャンパン),Callistemon 'Pink Champagne',Pink Champagne Bottlebrush / 金宝樹,フトモモ科カリステモン属,オーストラリア原産の園芸品種,低（日向必須）,-5℃以上（関東以西は地植え可）,強い / 強い（極めて強健）,庭 / ベランダ,土が乾いたらたっぷり,開花期は水を欲しがるので水切れに注意する。,普通,初心者向け,常緑性低木〜中高木,5月〜6月、一季咲き（秋に狂い咲きあり）,葉：細くシャープ、花：ピンクから白へ変化,樹高1.5m〜3m,早い,一般的な観葉植物の土、または培養土,春（花後が最適）、2年に1回,春と秋に緩効性肥料を適量施す,特になし,ミノムシ・カイガラムシ,見つけ次第捕殺、または薬剤散布。,花後すぐに剪定。古い枝からもよく芽吹くため形を作りやすい。,安全（毒性なし）,ナチュラル / トロピカル / リゾートスタイル,美しい花の鑑賞 / 生垣・目隠し,はかない恋 / 花言葉「恋の火」「気取りや」,新築祝い / 開店祝い,春夏のみ（開花株が初夏に流通）,屋外・日向エリアメイン,"5号鉢：2,800円 / 8号鉢：9,500円",
ピーチアンドクリーム,Grevillea 'Peaches and Cream',Grevillea / グレビレア,ヤマモガシ科グレビレア属,オーストラリア原産の園芸品種,低（日向必須）,-4℃以上（霜よけが必要）,強い / 普通（多湿にやや弱い）,庭 / ベランダ,土が乾いたらたっぷり,リン酸肥料厳禁。日本の梅雨時は雨の当たらない風通しの良い場所へ。,乾燥好む,中級者向け,常緑性低木,通年（四季咲き性が極めて高い）,葉：深い切れ込み、花：黄〜ピンクのグラデーション,樹高1.2m〜2m,普通,水はけ極めて重視（ピートモス主体の酸性土）,春（3〜4月）、1〜2年に1回,ほぼ不要（与えるならリン酸ゼロのもの）,根腐れ,カイガラムシ・ハダニ,梅雨時期の過湿を避ける。サーキュレーター併用（室内退避時）。,四季咲きのため、形が崩れた枝をいつでも軽く切り戻せる。,安全（毒性なし）,モダン / 西海岸風 / エキゾチック,美しい花の通年鑑賞 / ドライフラワー素材,花言葉「あなたを待っています」「平和」,新築祝い / 開店祝い / 特別なギフト,スポット入荷（高価格帯）,屋外・軒下の日向エリア,"6号鉢：7,000円 / 8号鉢：16,000円",
エンドリチェリアナ,Grevillea endlicheriana,Spindly grevillea,ヤマモガシ科グレビレア属,西オーストラリア州,低（日向必須）,-5℃以上,強い / 弱い（多湿は厳禁）,庭 / ベランダ,乾燥気味（土がしっかり乾いてから）,グレビレアの中でも特に乾燥を好む。水のやりすぎは即根腐れ。,乾燥好む,上級者向け,常緑性低木,冬〜春（開花期）,葉：細い針状のシルバーリーフ、花：淡いピンク〜白,樹高1.5m〜3m,普通,水はけ極めて重視（砂質・軽石多め）,春（3〜4月）、根詰まりしたら,ほぼ不要（無肥料ベース）,根腐れ,カイガラムシ,雨ざらしを避け、風通しの良い場所で管理。,花後に軽く枝を整える程度。大胆な強剪定は避ける。,安全（毒性なし）,インダストリアル / シャビーシック / ミニマル,洗練されたシルバーリーフの鑑賞,花言葉「情熱」「あなたを待っています」,植物コレクターへのギフト,スポット入荷（大変希少）,屋外・雨の当たらない日向エリア,"4号鉢：3,500円 / 6号鉢：8,000円",
ロブスタ,Grevillea robusta,Silky oak / シルキーオーク,ヤマモガシ科グレビレア属,オーストラリア東部,中（半日陰OK）〜低,-5℃以上（耐寒性は属内トップクラス）,強い / 普通（強健）,庭 / ベランダ / 室内リビング,土が乾いたらたっぷり,他のグレビレアと違い、観葉植物として室内でも比較的育てやすい。,普通,初心者向け,常緑性高木,通年（葉の見頃）,葉：シダ植物に似た美しい切れ込み（大型）,樹高2m〜10m以上（鉢植えでコントロール可）,早い,観葉植物の土、または一般的な培養土,春（4〜5月）、毎年〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,特になし,ハダニ・カイガラムシ,室内管理時はエアコンの風を避け、定期的に葉水を行う。,成長が早いため、春〜夏に高さを抑える芯止め剪定を行う。,安全（毒性なし）,北欧 / モダン / ナチュラル,インテリアグリーン / 目隠し,花言葉「卓越」「あなたを待っています」,新築祝い / 一人暮らし,通年安定（観葉植物として流通）,室内・明るい窓際 / 屋外日向,"4号鉢：1,800円 / 8号鉢：12,000円",
セルリア ブラッシングブライト,Serruria florida 'Blushing Bride',Blushing bride / セルリア・フロリダ,ヤマモガシ科セルリア属,南アフリカ・ケープ地方,低（日向必須）,0℃以上（霜は厳禁・冬は室内へ）,強い / 弱い（高温多湿に極めて弱い）,ベランダ / 庭（移動可能な鉢植え）,乾燥気味（土の表面が乾いて1〜2日後）,日本の夏（猛暑・多湿）で枯れやすいため、夏は日陰の涼しい風通しの良い場所へ。,乾燥好む,上級者向け,常緑性低木,2月〜5月（開花期）,葉：繊細な細葉、花：透明感のあるピンクホワイト,樹高0.5m〜1.5m,遅い,水はけ極めて重視（鹿沼土・軽石主体）,春（花後すぐ）、毎年〜2年に1回,ほぼ不要（リン酸厳禁、初秋に極少量の液肥）,根腐れ・灰色かび病,カイガラムシ,夏場の遮光と風通し確保。蒸れに注意。,花後に花の付いていた枝を半分程度まで切り戻す（新芽を促す）。,安全（毒性なし）,フレンチ / フェミニン / シャビーシック,最高峰のブライダル切花・ドライフラワー,可憐な心 / 花言葉「可憐な心」「ほのかな思慕」,結婚祝い / 特別な女性へのギフト,春夏のみ（冬〜春に開花株がスポット入荷）,屋外・半日陰（夏）/ 日向（冬）,"4号鉢：3,800円 / 5号鉢：6,000円",
リューカデンドロン・シルバーアフリカーナ,Leucadendron argenteum,Silvertree / シルバーツリー,ヤマモガシ科リューカデンドロン属,南アフリカ・ケープ地方タブランマウンテン,低（日向必須）,0℃以上（霜は厳禁）,強い / 弱い（夏の高温多湿に弱い）,庭 / ベランダ（鉢植え管理推奨）,土が乾いたらたっぷり（水切れ・過湿どちらもNG）,セルリア同様、夏の蒸れに注意。冬は室内の明るい窓際へ。,乾燥好む,上級者向け,常緑性低木〜高木,通年（葉の見頃）,葉：全面が艶やかな銀色の美しい絹毛に覆われる,樹高1.5m〜4m,普通,水はけ極めて重視（酸性土壌・軽石多め）,春（4〜5月）、根詰まりしたら,ほぼ不要（ネイティブ用肥料を秋に極少量）,根腐れ,特になし,梅雨〜夏は雨除けをし、サーキュレーター等で風を回す。,あまり剪定は好まない。形を整える程度にとどめる。,安全（毒性なし）,モダン / インダストリアル / スタイリッシュ,圧倒的な美しさのカラーリーフ / カット枝素材,花言葉「物言わぬ恋」「閉じた心を開いて」,植物コレクターへのギフト / 開店祝い（高級店）,スポット入荷（極めて希少、高価格）,屋外・雨の当たらない風通しの良い日向,"5号鉢：6,500円 / 7号鉢：18,000円",
プロテア,Protea,King protea / プロテア（総称）,ヤマモガシ科プロテア属,南アフリカ,低（日向必須）,-2℃以上（種類によるが基本は霜よけ必要）,強い / 弱い（日本の高温多湿に弱い）,庭 / ベランダ（鉢植え移動推奨）,土が乾いたらたっぷり（完全に乾ききる前に）,根が非常に繊細。リン酸肥料は絶対に与えない。,乾燥好む,上級者向け,常緑性低木,春〜秋（品種による）,葉：厚みがあり頑強、花：巨大で華麗（ピンク・赤・白）,樹高1m〜3m,遅い,水はけ極めて重視（鹿沼土・ピートモス主体）,春（花後）、根を崩さずに植え替え,ほぼ不要（与えるならプロテア専用肥料）,根腐れ,カイガラムシ,過湿を避けることが最優先。梅雨時は軒下へ。,花が終わったら、花の少し下の節で切り落とす。,安全（毒性なし）,モダン / エキゾチック / ボタニカル,圧倒的な存在感の花の鑑賞 / ドライフラワー,風格・王者の風格 / 花言葉「風格」「王者の風格」,開店祝い / 新築祝い / 特別な記念日ギフト,スポット入荷（高級・希少）,屋外・特設ネイティブプランツコーナー,"5号鉢：5,500円 / 8号鉢：25,000円",
アデナンサス ウーリーブッシュ,Adenanthos sericeus,Woollybush,ヤマモガシ科アデナンサス属,オーストラリア南部,低（日向必須）,0℃以上（霜は避ける）,強い / 弱い（多湿に弱い）,庭 / ベランダ,土が乾いたらたっぷり,梅雨〜夏の高温多湿に極めて弱い。風通しの良い軒下へ。,乾燥好む,中級者向け,常緑性低木,通年（葉の見頃）,葉：細く柔らかなシルバーグリーン、花：赤（小花）,樹高1m〜3m,普通,水はけ極めて重視（砂質・軽石多め）,春（4〜5月）、2年に1回,ほぼ不要（リン酸肥料は絶対に与えない）,根腐れ,カイガラムシ・ハダニ,過湿を避ける。サーキュレーター等での風通し確保。,春〜秋に伸びすぎた枝を軽く剪定して形を整える。,安全（毒性なし）,モダン / インダストリアル / 西海岸風,触感が心地よいインテリアグリーン / カラーリーフ,花言葉「歓迎」「かわいらしい心」,新築祝い / 開店祝い,スポット入荷（秋・春）,屋外・雨の当たらない日向,"4号鉢：2,500円 / 7号鉢：12,000円",
リューコスペルマム(ピンクッション),Leucospermum,Pincushion / 針刺山龍眼,ヤマモガシ科リューコスペルマム属,南アフリカ,低（日向必須）,-2℃以上（霜よけ推奨）,強い / 弱い（多湿は厳禁）,庭 / ベランダ（鉢植え推奨）,土が乾いたらたっぷり,プロテア同様にリン酸肥料は厳禁。梅雨は雨を避ける。,乾燥好む,上級者向け,常緑性低木,4月〜6月（開花期）,葉：肉厚で硬い、花：鮮やかなオレンジ・赤・黄,樹高1m〜2m,遅い,水はけ極めて重視（鹿沼土・酸性土壌）,春（花後）、根を崩さずに,ほぼ不要（与えるならネイティブ専用を極少量）,根腐れ,カイガラムシ,過湿に注意し、土が中まで乾いたのを確認して水やり。,花後に古い花頭をカット。強剪定は避ける。,安全（毒性なし）,モダン / エキゾチック / スタイリッシュ,トロピカルな花の鑑賞 / ドライフラワー素材,どこでも成功する / 花言葉「どこでも成功する」「艶やかな人」,お祝い / 開店祝い / コレクター向け,スポット入荷（春に開花株が流通）,屋外・最前線日向エリア,"5号鉢：4,500円 / 7号鉢：14,000円",
フィリカ・プベッセンス ワフトフェザー,Phylica pubescence 'Waft Feather',Phylica / フィリカ,クロウメモドキ科フィリカ属,南アフリカ・ケープ地方,低（日向必須）,0℃以上（冬は室内窓際推奨）,強い / 弱い（夏の蒸れに注意）,ベランダ / 庭（移動可能な鉢植え）,乾燥気味（土が乾いてから数日後）,夏は直射日光を避けた涼しい半日陰、冬は室内の明るい場所へ。,乾燥好む,上級者向け,常緑性低木,11月〜2月（冬開花）,葉・苞：極上の羽毛のような白〜淡黄色の質感,樹高0.5m〜1.5m,遅い,水はけ極めて重視（砂質・軽石主体）,春（暖かくなってから）、2年に1回,ほぼ不要（無肥料ベース）,根腐れ,特になし,夏場の高温多湿に気をつけ、水のやりすぎを徹底して防ぐ。,花後に軽く形を整える程度。切り込みすぎない。,安全（毒性なし）,モダン / シャビーシック / ホワイトインテリア,唯一無二の起毛質感の鑑賞 / 高級ドライ素材,花言葉「輝き」「可憐」,特別なギフト / こだわり派へのプレゼント,スポット入荷（大変希少・高価格）,屋外・風通しの良い日向（夏は半日陰）,"4号鉢：3,500円 / 6号鉢：8,500円",
ドドナエア プルプレア,Dodonaea viscosa 'Purpurea',Hop bush / ポップブッシュ・プルプレア,ムクロジ科ドドナエア属,オーストラリア,低（日向必須）,-5℃以上（ある程度の霜は耐える）,強い / 普通（過湿は避ける）,庭 / ベランダ,土が乾いたらたっぷり,冬に美しいチョコレート色に紅葉する。日当たりが必須。,乾燥好む,初心者向け,常緑性中木,通年（冬の紅葉が見頃）,葉：緑から冬に銅葉（チョコレート色）へ変化,樹高1.5m〜3m,早い,水はけ重視（一般的な培養土でも可）,春（3〜4月）、1〜2年に1回,春と秋に緩効性肥料を少量与える,特になし,アブラムシ・カイガラムシ,風通しを良くし、発生時は市販の殺虫剤で対応。,いつでも剪定可能。強剪定にも耐え、生垣にも向く。,安全（毒性なし）,モダン / インダストリアル / シック・大人っぽい,お庭のカラーリーフ / 目隠し・生垣,花言葉「よろこび」「お祝い」,新築祝い / 引越し祝い,通年安定（秋〜冬に流通増）,屋外・日向エリア（カラーリーフコーナー）,"3号ポット：600円 / 8号鉢：10,000円",
ミメテス・クラッカージャックレッド,Mimetes cucullatus 'Crackerjack Red',Mimetes / ミメテス,ヤマモガシ科ミメテス属,南アフリカ,低（日向必須）,0℃以上（霜は厳禁）,強い / 弱い（高温多湿は厳禁）,庭 / ベランダ（鉢植え移動推奨）,乾燥気味（土がしっかり乾いてから）,日本の夏に極めて弱い。梅雨以降は雨を避け涼しい場所へ。,乾燥好む,上級者向け,常緑性低木,春〜夏（新葉の展開期）,葉：先端が赤く色づく（グラデーション）,樹高1m〜2m,遅い,水はけ極めて重視（軽石・鹿沼土主体）,春（3〜4月）、根詰まりしたら,ほぼ不要（リン酸厳禁）,根腐れ,特になし,夏は遮光し、風通しの良い日陰で管理。過湿にしない。,剪定はあまり行わず、枯れた葉を取り除く程度。,安全（毒性なし）,モダン / エキゾチック / スタイリッシュ,カラーリーフとしての圧倒的な美しさ,花言葉「栄光」「情熱」,コレクター向け限定ギフト,スポット入荷（極めて希少・高価格）,屋外・雨の当たらない特設コーナー,"5号鉢：8,000円 / 6号鉢：15,000円",
